ID,Номенклатура,Единица хранения,Группа номенклатуры,Ссылка на сайт конкурента,Количество в упаковке
238,"Пистолет монтажный, пороховой ПЦ-84",шт,ПИСТОЛЕТЫ МОНТАЖНЫЕ ПОРОХОВЫЕ,https://www.ozon.ru/product/pistolet-porohovoy-montazhnyy-gft-5-analog-pts-84-964736860/,1
238,"Пистолет монтажный, пороховой ПЦ-84",шт,ПИСТОЛЕТЫ МОНТАЖНЫЕ ПОРОХОВЫЕ,https://www.ozon.ru/product/porohovoy-montazhnyy-pistolet-pts-84-930007150/,1
238,"Пистолет монтажный, пороховой ПЦ-84",шт,ПИСТОЛЕТЫ МОНТАЖНЫЕ ПОРОХОВЫЕ,https://www.ozon.ru/product/porohovoy-montazhnyy-pistolet-pts-84-947609659/,1
388,"Гайковерт пневматический FROSP ПГ-116 1/2""",шт,ГАЙКОВЕРТЫ ПНЕВМАТИЧЕСКИЕ,https://www.ozon.ru/product/pnevmogaykovert-evrika-681197636/,1
388,"Гайковерт пневматический FROSP ПГ-116 1/2""",шт,ГАЙКОВЕРТЫ ПНЕВМАТИЧЕСКИЕ,https://www.ozon.ru/product/pnevmogaykovert-udarnyy-1-2-680-nm-nordberg-np14068-940785908/,1
388,"Гайковерт пневматический FROSP ПГ-116 1/2""",шт,ГАЙКОВЕРТЫ ПНЕВМАТИЧЕСКИЕ,https://www.ozon.ru/product/udarnyy-pnevmaticheskiy-gaykovert-zubr-mg-600-1-2-600-nm-64280-627803560/,1
413,Молоток отбойный бензиновый GJH95,шт,МОЛОТКИ ОТБОЙНЫЕ - БЕНЗИНОВЫЕ,https://www.ozon.ru/product/benzinovyy-otboynyy-molotok-tss-gjh95-art-207000-643825329/,1
539,Пистолет гвоздезабивной FROSP CN-70,шт,ПИСТОЛЕТЫ ГВОЗДЕЗАБИВНЫЕ - БАРАБАННЫЕ,https://www.ozon.ru/product/pnevmaticheskiy-gvozdezabivnoy-pistolet-barabannogo-tipa-cn70-25-57-mm-969061298/,1
539,Пистолет гвоздезабивной FROSP CN-70,шт,ПИСТОЛЕТЫ ГВОЗДЕЗАБИВНЫЕ - БАРАБАННЫЕ,https://www.ozon.ru/product/pnevmaticheskiy-gvozdezabivnoy-pistolet-cn70-45-70-mm-474843828/,1
540,Пистолет гвоздезабивной FROSP CN-80,шт,ПИСТОЛЕТЫ ГВОЗДЕЗАБИВНЫЕ - БАРАБАННЫЕ,https://www.ozon.ru/product/pnevmaticheskiy-gvozdezabivnoy-pistolet-50-83-mm-cn80-611113219/,1
